path,file_type,SNR,frequency,angle,channel,location_condition,stimcode
Stimuli/control_negative.6.4000.60.left.wav,control_negative,6,4000,60,left,LEFT60,1
Stimuli/Pulse.40.2147.20.left.wav,Pulse,40,2147,20,left,LEFT20,2
Stimuli/Pulse.6.700.60.left.wav,Pulse,6,700,60,left,LEFT60,3
Stimuli/Pulse.6.700.60.right.wav,Pulse,6,700,60,right,RIGHT60,4
Stimuli/Pulse.40.2147.60.right.wav,Pulse,40,2147,60,right,RIGHT60,5
Stimuli/Pulse.40.700.60.left.wav,Pulse,40,700,60,left,LEFT60,6
Stimuli/Pulse.40.700.20.right.wav,Pulse,40,700,20,right,RIGHT20,7
Stimuli/Pulse.6.2147.60.left.wav,Pulse,6,2147,60,left,LEFT60,8
Stimuli/Pulse.6.2147.20.right.wav,Pulse,6,2147,20,right,RIGHT20,9
Stimuli/control_positive.6.400.20.right.wav,control_positive,6,400,20,right,RIGHT20,10
Stimuli/control_positive.6.400.60.left.wav,control_positive,6,400,60,left,LEFT60,11
Stimuli/control_negative.6.4000.20.right.wav,control_negative,6,4000,20,right,RIGHT20,12
Stimuli/Pulse.40.700.20.left.wav,Pulse,40,700,20,left,LEFT20,13
Stimuli/Pulse.6.2147.20.left.wav,Pulse,6,2147,20,left,LEFT20,14
Stimuli/Pulse.40.700.60.right.wav,Pulse,40,700,60,right,RIGHT60,15
Stimuli/control_negative.6.4000.20.left.wav,control_negative,6,4000,20,left,LEFT20,16
Stimuli/Pulse.40.2147.60.left.wav,Pulse,40,2147,60,left,LEFT60,17
Stimuli/Pulse.6.700.20.right.wav,Pulse,6,700,20,right,RIGHT20,18
Stimuli/Pulse.40.2147.20.right.wav,Pulse,40,2147,20,right,RIGHT20,19
Stimuli/Pulse.6.700.20.left.wav,Pulse,6,700,20,left,LEFT20,20
Stimuli/control_positive.6.400.60.right.wav,control_positive,6,400,60,right,RIGHT60,21
Stimuli/Pulse.6.2147.60.right.wav,Pulse,6,2147,60,right,RIGHT60,22
Stimuli/control_negative.6.4000.60.right.wav,control_negative,6,4000,60,right,RIGHT60,23
Stimuli/control_positive.6.400.20.left.wav,control_positive,6,400,20,left,LEFT20,24
